Movie,Content
The Two Faces Of January,"In 1962, New York con man Chester MacFarland and his wife Colette are touring Greece . At the Acropolis, they meet Rydal Keener, an American who is alienated from his family. The MacFarlands invite him to dinner.

Rydal goes back to their hotel to return a bracelet that Colette left in their shared taxi. Meanwhile, a private detective hired by victims of Chester's investment swindles visits the MacFarlands' hotel room and demands that Chester repay their money. The detective pulls a gun, but Chester accidentally kills him after a struggle in which the detective falls and hits his head. As Chester is carrying the body to the detective's hotel room, Rydal finds him in the corridor. They hastily pack their suitcases and flee the hotel with Rydal but without checking out, leaving their passports at the front desk.

Rydal arranges for false passports to replace those left behind and suggests waiting for the counterfeit documents in Crete. While there, the mutual attraction between Rydal and Colette continues to develop, much to Chester's frustration. Colette believes someone has recognized her from newspaper pictures; she runs off the bus at a stop. Chester and Rydal follow and together they walk to the ruins of Knossos. Chester lures Rydal into an underground labyrinth and knocks him out. Colette, believing that he has killed Rydal, refuses to go any further with Chester. As they argue, she loses her balance and falls to her death down a flight of stairs.

Rydal comes to and discovers Colette's dead body. Upon leaving the site, he unexpectedly encounters a teacher with a group of students, who curiously watch him depart. He follows Chester to Athens, where the two realize that they are bound together by two deaths. If either man is arrested, he will implicate the other. Arriving in Athens, they head to the airport, where Chester boards a plane to Istanbul, leaving Rydal with a suitcase containing documents that tie him to Colette.

Rydal locates Chester in Istanbul and telephones him, demanding a meeting in the Grand"
Belle,"Dido Elizabeth Belle Lindsay is born in 1761, the illegitimate daughter of Captain Sir John Lindsay, a Royal Navy officer, with Maria Belle, an enslaved African woman in the West Indies. After Dido's mother dies in 1769, Lindsay takes Dido to England and entrusts her to his uncle William Murray, Earl of Mansfield, the Lord Chief Justice, and his wife Elizabeth, who live at Kenwood House, an estate in Hampstead, near London).

They raise Dido as a free gentlewoman with their other great-niece Lady Elizabeth Murray, whose widowed father had remarried a woman who pressured him to disown Elizabeth. When the cousins reach adulthood, the Mansfields commission a portrait of them, but Dido fears she will be portrayed as a subordinate, similar to other portraits which depict aristocrats with black servants.

Dido's father dies, leaving her a vast income of £2,000 a year, making her an heiress. Lady Elizabeth, by contrast, will have no income from her father, as his son with his new wife has been named sole heir. Arrangements are made for Elizabeth to have her coming-out to society, but Lord and Lady Mansfield believe no gentleman will agree to marry Dido because of her mixed race. Fearing lower-ranking men will only marry her for her wealth, and that a marriage to a lower-status man will reduce her rank and shame the family, Lord Mansfield decides she will travel to London with her cousin but will not be ""out"" to society. He asks her to take her spinster great-aunt Mary's place as the keeper of the house, with the implication that she will not marry.

Lord Mansfield agrees to take the local vicar's son, John Davinier, into a law pupillage. In 1783, Mansfield hears the case of Gregson v. Gilbert, about an insurance claim for slaves killed when thrown overboard by the captain of a slave-ship. Dido helps her uncle with his correspondence. After John tells her about the case, she begins sneaking correspondence to him which he believes will advance abolitionism. Lord Mansfield and John disagree about the case; John is told to leave and not to see Dido again, and his pupillage is at an end.

Dido's aunts, Lady Mansfield and Lady Mary Murray, seek to steer Dido into an engagement with Oliver Ashford, younger brother to the bigoted James Ashford. At first, James is interested in Elizabeth but stops courting her once he discovers she will have no inheritance. Oliver, who has no fortune, proposes to Dido and she accepts, but continues to see John in secret. James takes Dido aside, tells her she will disgrace his family's name, then insults and gropes her.

Dido tells Elizabeth of James' true character, offering to give Elizabeth part of her own inheritance as a dowry so she can find a different match. Lord Mansfield finds out about Dido's visits to John and confronts them, and John professes his love for her. She meets Oliver and breaks off their engagement.

Dido is relieved when the painting is unveiled, since she is shown as Elizabeth's equal. She tells Lord Mansfield that the portrait commission proves that he can defy convention.

Dido sneaks into the court to hear Lord Mansfield narrowly rule that the slave-trading syndicate is not due insurance payments for the slaves whom the crew threw overboard during the voyage. The ship's officers claimed they ordered this action because they were out of drinking water, but Lord Mansfield had discovered that the ship passed by many ports without stopping for more water, before murdering the slaves. The slaves' quarters were overcrowded, making them sick and not likely to fetch a high price at auction, so the officers had decided they would be worth more in insurance payments after their ""loss"", and threw them overboard. When Lord Mansfield sees John and Dido outside the court after his ruling, he says that Dido can only marry a gentleman. Therefore, he agrees to resume John's pupillage, so that he can become a lawyer. Dido and John embrace, in acknowledgement of their romantic feelings.

In the credits we see Dido and John married, having two sons. Elizabeth also married and had three children, and their joint portrait hung at Kenwood House until 1922, when it was moved to Scone Palace near Perth, the birthplace of Lord Mansfield."
Under The Skin,"In Glasgow, a motorcyclist retrieves an inert young woman from the roadside and places her in the back of a van, where a naked woman dons her clothes. After buying clothes and make-up at a shopping centre, the woman drives the van from town to town, picking up men. She lures a man into a dilapidated house. As he undresses, following the woman into a void, he is submerged in a liquid abyss.

At a beach, the woman attempts to pick up a swimmer, but is interrupted by the cries of a drowning couple attempting to rescue their dog, as it is pulled out to sea. The swimmer rescues the husband, but the husband rushes back into the water to save his wife and both drown. As the swimmer lies exhausted on the beach, the woman strikes his head with a rock, drags him to the van, and drives away, ignoring the couple's distraught baby. Later that night, the motorcyclist retrieves the swimmer's belongings, ignoring the baby, who is still on the beach.

The woman visits a nightclub and picks up another man. At the house, he follows her into the void and is submerged in the liquid. Suspended beneath the surface, he sees the swimmer floating naked beside him, alive but bloated and almost immobile. When he reaches to touch him, the swimmer's body collapses and a red mass empties through a trough.

The next day, the woman receives a rose from a street vendor, purchased by another man in traffic. She listens to a radio report about the missing family from the beach. The woman enters a dark room and is examined by the motorcyclist. She seduces a lonely man with facial tumours but lets him leave after examining herself in a mirror. The motorcyclist intercepts the man and bundles him into a car, then sets out in pursuit of the woman with three other motorcyclists.

In the Scottish Highlands, the woman abandons the van in the fog. She walks to a restaurant and attempts to eat cake, but retches and spits it out. In a bus, she meets a man who offers to help her. At his house, he prepares a meal for her and they watch television. Alone in her room, she examines her body in a mirror. They visit a ruined castle, where the man carries her over a puddle and helps her down some steps. At his house, they kiss and begin to have sex, but the woman stops and examines her genitals.

Wandering in a forest, the woman meets a commercial logger and shelters in a bothy. She wakes up to find the logger molesting her. She runs into the wilderness but he catches and attempts to rape her; he tears her skin, revealing a black, featureless body. As the woman extricates herself from her skin, the man douses her in fuel and burns her alive. Elsewhere, the motorcyclist stands on a mountaintop and looks out across a snowy field."
Enemy,"A man attends an erotic show at an underground club, which culminates with a naked woman on the verge of crushing a live tarantula under her platform high-heel.

Adam Bell, a college history professor, lives a quiet, monotonous life in Toronto. He rents a film, Where There's a Will There's a Way, on the recommendation of a colleague, and spots an actor who looks strikingly like himself, briefly, in the film as a bellhop. Searching online, Adam identifies the actor as Anthony Claire, whose stage name is Daniel Saint Claire. Adam rents the other two films in which Anthony has appeared and becomes obsessed with the man, who appears to be his physical twin. Immediately afterwards, Adam searches some boxes in his own house and finds a photo of someone who looks like himself, with a woman's hand over his shoulder. However, part of the photo is torn out, making the woman impossible to identify.

Adam stalks Anthony, visiting his talent agency, where he is mistaken for Anthony and given a confidential letter. Discovering Anthony's apartment in Mississauga, Adam calls the home, but reaches Anthony's pregnant wife, Helen. She also mistakes Adam's voice for Anthony's and assumes it's a joke, but Adam insists he is not Anthony. This frightens Helen, and Adam abruptly ends the call.

Adam calls again later and reaches Anthony, who assumes Adam is a stalker and tells him not to call again. Helen confronts Anthony about the phone call and Adam's existence, but Anthony insists he knows nothing. Unconvinced, Helen researches Adam, discovers the college where he teaches, and finds him. Helen is visibly stunned at his exact resemblance to her husband, though Adam does not realize who Helen is.

Anthony eventually calls Adam, and they agree to meet in a hotel room, where they discover that they are perfectly identical, even having the same scar. Adam is taken aback by Anthony's direct personality, says the meeting was a mistake, and swiftly departs. The two men begin having similar dreams, or perhaps the same dream, featuring first a naked woman with a spider's head, and later a giant skyscraper-sized spider walking amidst the buildings of the city where they live.

The next day, Anthony is now stalking Adam. He sees Adam's girlfriend, Mary, whom he finds attractive. Anthony plots to accuse Adam of sleeping with his wife, and shame and manipulate Adam into letting him sleep with Mary to 'get even'. He demands Adam's clothes and car keys for a night, after which he promises to disappear forever. Adam complies. Anthony impersonates him and takes Mary to the hotel.

Meanwhile, Adam goes to Anthony's apartment in retaliation, and is let inside. The building concierge desperately asks 'Anthony' to take him back to the underground sex club. Inside the apartment, Adam finds a framed photo on a shelf which looks like the one he had found earlier in his own house, but now the photo is intact, and the woman is revealed to be Helen. Adam tries to act as Anthony in front of Helen, but it appears that she recognizes his nicer demeanor. She pretends not to notice and cuddles with him. Later that night, however, Helen wakes to find Adam crying and apologizing; she tells him she prefers him and asks him to stay, then has sex with him.

Back at the hotel, Mary panics during sex when she notices Anthony's wedding-ring mark and asks who he really is. Anthony claims he has always had the mark. She forces Anthony to drive her home; the two get into a fight in the car which results in a high-speed crash, presumably killing them both.

The next day, Adam dresses in Anthony's clothes and finally opens the confidential letter received earlier. He finds the key to the underground sex club, given only to select members. He resolves to go there, and shouts to Helen that he's going out, but he hears no response. As he enters the bedroom, he sees, instead of Helen, a room-sized tarantula cowering against the rear wall. Adam, with a resigned look, sighs."
Oldboy,"In 1988, businessman Oh Dae-su was arrested for public drunkenness, causing him to miss his daughter's fourth birthday. After his friend Joo-hwan picks him up from the police station, Dae-su is kidnapped and awakens in a sealed hotel room, where food is delivered through a pet door and the only form of diversion from his captivity is a television. By watching the television, Dae-su learns that his wife has been murdered and that he has been framed as the prime suspect by his captors. As years of imprisonment pass, Dae-su grows deranged from solitude. He attempts suicide by slashing his wrists, but is kept alive by his captors. After this, Dae-su spends years practising martial arts against the solid wall and attempting to dig an escape tunnel so that he might seek vengeance upon his captors.

In 2003, 15 years into his imprisonment, Dae-su is suddenly released after being sedated and hypnotised. Dae-su awakens on a rooftop, where he meets a suicidal man. After testing his fighting skills on a group of thugs, a mysterious beggar gives him money and a mobile phone. Dae-su enters a sushi restaurant where he encounters Mi-do, a young chef. Upon receiving a taunting phone call from his captor and consuming a live octopus, he collapses and is taken in by Mi-do. Dae-su attempts to rape Mi-do and then regretfully attempts to leave her apartment, but they reconcile and begin to form a bond. Once he has recovered, Dae-su tries to find his daughter, but gives up after learning she was adopted following his kidnapping. Now focused on identifying his captors, Dae-su locates the Chinese restaurant where his prison food was prepared, then follows a deliveryman to find the hotel room.

Dae-su learns the hotel is a private prison where people pay to have others incarcerated. He tortures and interrogates the warden, Mr. Park Cheol-woong, who divulges that Dae-su was imprisoned for ""talking too much"". Park's guards come and attack Dae-su, and a fierce fight ensues in a corridor. Dae-su is stabbed but manages to defeat them all. His captor is then revealed to be wealthy businessman Lee Woo-jin, who gives Dae-su an ultimatum: If he can uncover the motive for his imprisonment within five days, Woo-jin will kill himself; otherwise, he will kill Mi-do. Dae-su and Mi-do have grown closer and eventually have sex.

Joo-hwan contacts Dae-su with important information but is murdered by Woo-jin while they are on the phone. Dae-su recalls that he and Woo-jin attended the same high school, where he witnessed Woo-jin committing incest with his sister, Lee Soo-ah. Dae-su told Joo-hwan what he had seen, leading his classmates to gossip about Soo-ah. Soo-ah later committed suicide following a false pregnancy, leading a grief-stricken Woo-jin to seek revenge. In the present, Woo-jin cuts off Mr. Park's hand, so Park and his gang join forces with Dae-su. Dae-su leaves Mi-do with Mr. Park and sets out to face Woo-jin.

At his penthouse apartment, Woo-jin shows Dae-su a family album with photos of Dae-su, his wife, and his infant daughter together fifteen years earlier, progressing to pictures of his daughter as she grew up, which reveal that Mi-do is Dae-su's daughter. Woo-jin reveals that he orchestrated events through hypnosis to guide Dae-su to the restaurant so that he and Mi-do would fall in love, for Dae-su to experience the same pain of incest that he had. Woo-jin reveals Mr. Park is still working for him and threatens to tell Mi-do the truth. Dae-su desperately apologises for spreading the rumour that led to the death of Woo-jin's sister. Dae-su begs for Mi-do to be kept ignorant and debases himself by begging on all fours, acting like a dog, and licking Woo-jin's shoes. When Woo-jin is unmoved, Dae-su cuts out his tongue as an act of penance. Woo-jin finally accepts Dae-su's apology and instructs Mr. Park not to reveal the truth to Mi-do. He then drops what he claims to be the remote to his pacemaker and walks away. Dae-su activates the device in an attempt to kill Woo-jin, only to find it is the remote for a reel-to-reel tape recorder that plays an audio recording through large loudspeakers of Dae-su and Mi-do having sex. As Dae-su collapses in despair, Woo-jin enters the penthouse lift, and as he recalls his involvement in his sister's suicide, shoots himself in the head.

Sometime later, Dae-su locates the hypnotist and writes to her requesting that she erase the knowledge of Mi-do being his daughter so they can remain happy together. At first, she expresses how she did not feel the need to help him, but was touched by a certain line in his letter, something said by the man on the rooftop where Dae-su was first released.[a] The hypnotist guides Dae-su to envision the part of himself that knows the truth dying. Afterward, Mi-do finds Dae-su lying in the snow, but there is no sign of the hypnotist. Mi-do confesses her love for him, and the two embrace. Dae-su breaks into a broad smile, slowly replaced by a more ambiguous expression."
People Of A Feather,"The lives of the Inuits on the Belcher Islands in Canada's Hudson Bay, as cameras capture how they adapt to the changing Arctic environment."
The Lone Ranger,"In 1933, at a San Francisco funfair, a boy named Will who idolizes the legendary Lone Ranger encounters the elderly Comanche Tonto, who proceeds to recount his experiences with the Old West adventurer.

In 1869, lawyer John Reid returns home to Colby, Texas via the uncompleted Transcontinental Railroad, managed by railroad tycoon Latham Cole. Unknown to Reid, the train is also carrying Tonto and outlaw Butch Cavendish, who is being transported for his hanging after being captured by Dan Reid, John's Texas Ranger brother. Cavendish's gang rescues Butch and derails the train. Tonto is subsequently jailed. Dan deputizes John as a Texas Ranger, giving him a silver star badge that had belonged to their late father, and with six others they go after the Cavendish gang. Cavendish's men ambush and kill their pursuers while Cavendish slays Dan with his dagger and devours his heart as revenge for his imprisonment. Tonto, who has escaped from jail, comes across the dead men and buries them. However, a white spirit horse awakens John as a ""spirit walker"", and Tonto explains John cannot be killed in battle. Tonto also tells him Collins, one of the Rangers, betrayed Dan and is working with Cavendish. As John is thought to be dead, he wears a mask to protect his identity from enemies. Tonto gives John a silver bullet made from the fallen Rangers' badges and tells him to use it on Cavendish, whom he believes to be a mythical beast called a wendigo.

At a Hell on Wheels brothel Collins recently visited, Red Harrington informs the two about Dan and Collins' fight over a cursed silver rock. Meanwhile, Cavendish's men, disguised as Comanches, raid frontier settlements. John and Tonto arrive after raiders abduct Dan's widow and son, Rebecca and Danny. Regretting his earlier actions, Collins attempts to help the mother and child escape, but is shot dead by Cole, who rescues them. Claiming the raiders are hostile Comanches, Cole announces the continued construction of the railroad and dispatches US Cavalry Captain Jay Fuller to wipe out the Comanches. A Comanche tribe captures John and Tonto after the pair finds railroad tracks in Native territory. The leader tells John of Tonto's past: As a boy, Tonto had rescued Cavendish and another man from near-death and later showed them a mountain full of silver ore in exchange for a pocket watch. The men murdered the tribe to keep the location a secret, leaving Tonto with great guilt which led to him believing the two were wendigos.

Tonto and John escape as the cavalry attack the Comanche. At the silver mine, the duo captures Cavendish. Tonto demands John use the silver bullet to kill Cavendish, but John refuses. Upon returning Cavendish to Cole and Fuller's custody, Cole is revealed to be Cavendish's partner and brother. Fuller, fearful of being labeled a war criminal for slaughtering the tribe unprovoked, sides with Cole. Rebecca is held hostage, and John is returned to the mine to be executed. Tonto rescues him and the two flee. Realizing Cole is too powerful to be taken down lawfully and regretful since his arrogance in ignoring Tonto led to the mass slaughter of the Comanches and the kidnapping of his loved ones, John dons the mask again.

At Promontory Summit, during the railroad's union ceremony, Cole reveals his true plan: to take control of the railroad company and use the mined silver to gain more power. John and Tonto steal nitroglycerin and use it to destroy a railroad bridge. With Red's help, Tonto steals the train with the silver, and Cole, Cavendish and Fuller pursue him in a second train on which Rebecca and Dan Jr. are being held captive. On horseback, John pursues both trains. After a furious chase and fights on both trains, John kills Cavendish and Fuller, and rescues Rebecca and Dan Jr. Tonto hands back Cole the pocket watch he kept for all those past years, before the train drives off the destroyed bridge, drowning Cole underneath all the silver.

The town recognizes John as a hero and offers him a law-enforcement position, but John declines and rides off with Tonto. Back in 1933, Will questions the truth of the story, to which Tonto gives him a silver bullet, tells him to decide for himself and leaves in the form of a crow. Inspired, Will puts a mask over his face."
Getaway,"Washed up former race driver Brent Magna arrives home to find his house ransacked and his wife, Leanne, missing. He then receives a phone call from a mysterious man known only as The Voice, who reveals himself as the kidnapper of Magna's wife. The man tells Magna that he must follow a set of instructions precisely in order to be reunited with his wife. The Voice orders Magna to steal a specially customized Shelby Mustang from a parking garage. The Voice warns Magna that if he does not follow the instructions or is caught, Leanne will die.

Magna sees two police officers chasing him and speeds off. Being a skilled driver, he is able to evade them with ease, eventually setting a trap to cause one to crash into the other. Despite more police cars joining the pursuit, Magna is able to out maneuver them, after which he is again contacted by The Voice, who directs him towards his next task. He tells Magna to speed up and take some perilous turns, eventually being forced to crash through a park, ice rink, and shopping center, nearly killing numerous civilians in the process. The Voice calls to congratulate him and tells him to keep moving. Magna is ordered to crash into a water truck and run through a red lighted intersection, causing accidents in his wake. Magna is then ordered to park in a construction zone and await further instructions.

While Magna is waiting, a young woman (known only as the Kid), armed with a gun, attempts to steal Magna's car, but Magna overpowers her and takes her gun, and then takes her with him on The Voice's orders – at some point, the Voice orders Magna to kill The Kid, but Magna refuses, to which The Voice replies that keeping her alive was the right choice, as he will need her help. As Magna and The Kid drive off, with more police in pursuit, she reveals that the Mustang is, in fact, her car, and that she was told by a police officer that it was stolen. Magna realizes that their meeting was orchestrated by The Voice.

After the Voice assigns Magna another destructive task, The Kid reveals herself as a skilled computer hacker and the daughter of the CEO of a large bank. The Voice contacts Magna again and orders him to upload the contents of a USB flash drive into a computer before 11:30 pm. Upon reaching the designated area (a power plant), The Kid attempts to hack the computer in order to contact the police. She appears to succeed, only for The Voice to reveal that he set up the computer as a trap for her, framing her as the person who destroyed the plant. The plant suddenly overloads and explodes, blacking out a large portion of the city.

The Voice gives Magna his final task: to rob the bank owned by The Kid's father. The Kid points out that there is no actual money at her father's bank – it is rather an investment firm which holds all of its assets on computers. Gradually, the duo realizes that they are not actually committing a heist, but are merely providing a distraction for the police while The Voice executes the real robbery and subsequently frames them for it.

As The Voice's men attempt to commandeer an armored car carrying sensitive hard drives, Magna surprises and overpowers them, succeeding in taking the drives. Now fleeing from the police and The Voice's men simultaneously, Magna calls The Voice and offers to release the hard drives in exchange for his wife. The Voice accepts and directs him to an airplane hangar. While it appears that Leanne is about to be returned, The Kid deduces that The Voice is planning to have them all killed once the deal is done. As Magna, Leanne and The Kid attempt to escape, the police arrive, and in the ensuing chaos, a man Magna assumes to be The Voice grabs The Kid and drives off with her. Magna leaves Leanne with the police and pursues.

Following a high speed chase, both cars are destroyed, Magna rescues The Kid, and the police arrest the mysterious man. Leanne and Magna are reunited. However, Magna receives a phone call from The Voice, revealing that the man who was busted was no more than a decoy, and thanking Magna for his help and for hanging up.

It is then revealed that The Voice was in fact controlling the entire operation from a bar in the United States. He checks his balance, revealing that almost 3 billion dollars have been transferred to his account, and walks out of the bar."
Broken,"Eleven-year-old diabetic Emily 'Skunk' Cunningham lives with her solicitor father Archie, her elder brother Jed, and au pair Kasia on a cul-de-sac in a British suburb. One of her few friends is Rick, a slightly simple young man living with his parents in a nearby house.

Skunk is shocked when Rick gets beaten up by single-father Mr. Oswald, another neighbour: one of three of his daughters (Saskia, Susan, and Sunrise) has falsely accused Rick of rape. He is released when she is proven a liar, but he closes himself off. From then on Skunk's life goes downhill.

Kasia splits up with her boyfriend Mike, who is also Skunk's favourite teacher. Rick is put into a mental ward as he isolates himself more and more. Archie and Kasia are beginning a relationship, a shock to both Mike and Skunk. Oswald's daughters start bullying Skunk when the new term starts. Her first boyfriend suddenly has to move away, and does not tell her until the day before he leaves.

One of Oswald's daughters, Susan, gets pregnant by one of her many sexual partners, panics, and falsely accuses Mike. Oswald barges into Skunk's classroom and beats Mike. While Oswald is in jail, Archie provides legal services to Mike, and the three daughters throw a drunken party. Susan miscarries at a house party, then dies, leading to Oswald's release.

Skunk secretly visits Rick when he has his first weekend at home. When she enters the house, she finds that Rick has accidentally broken his mother's neck, pushing her down the stairs, then panicked and knocked out his father. He won't let Skunk leave and does not realise Skunk's diabetes takes her into a hypoglycemic coma. Oswald finds Skunk, and a dead Rick (suicide), and gets her to hospital.

In a dream sequence, Skunk bids farewell to people from her childhood, including the recently dead, then sees her grown self, holding her baby. She wakes up in the hospital, with her father at her side."
Deceptive Practice: The Mysteries And Mentors Of Ricky Jay,Filmmakers Molly Bernstein and Alan Edelstein take a glimpse at the very private world of professional magician Ricky Jay.
A Fierce Green Fire,A host of actors and environmental campaigners take a look at first 50 years of global environmental activism from the 1960s to the present.
Bullet To The Head,"When veteran hit man Jimmy Bobo (Sylvester Stallone) and his partner, Louis (Jon Seda), kill a corrupt ex-cop, Louis in turn loses his life to an ex-mercenary named Keegan (Jason Momoa). Detective Taylor Kwon (Sung Kang) senses a connection between the two killings and seeks out Bobo, who subsequently saves Kwon from an assassination attempt. The pair join forces against a common enemy: a ruthless real-estate developer named Robert Nkomo Morel (Adewale Akinnuoye-Agbaje)."
The Source Family,"A feature documentary film set in Hollywood, examining a radical experiment in 1970's utopian living."
Prometheus,"As a spacecraft departs a planet, a humanoid alien drinks a liquid, causing its body to dissolve. Its remains cascade into a waterfall and the alien's DNA falls apart and recombines.

In 2089, archaeologists Elizabeth Shaw and Charlie Holloway discover a star map in Scotland that matches others from several unconnected ancient cultures. They interpret this as an invitation from humanity's forerunners, the ""Engineers"". Peter Weyland, the elderly CEO of Weyland Corporation, funds an expedition, aboard the scientific vessel Prometheus, to follow the map to the distant moon LV-223. The ship's crew travels in suspended animation while the android David monitors their voyage. They arrive in December 2093.

The Prometheus lands on the barren, mountainous surface near a large, artificial structure, which the team explores. Inside, they find stone cylinders, a monolithic statue of a humanoid head, and the decapitated corpse of a large alien, thought to be an Engineer; Shaw recovers its head. The crew finds other bodies, leading them to surmise that the species is extinct. Crew members Millburn and Fifield grow uncomfortable with the discoveries and attempt to return to Prometheus, but get lost in the structure. The expedition is cut short when a storm forces the crew to return to the ship. David secretly takes a cylinder with him, while the remaining ones begin leaking a dark liquid. In the ship's lab, the Engineer's DNA is found to match that of humans. David investigates the cylinder and the liquid inside. He intentionally taints a drink with the liquid and gives it to the unsuspecting Holloway, who had stated he would do anything for answers. Shortly after, Shaw and Holloway have sex.

Inside the structure, a snake-like creature kills Millburn and sprays a corrosive fluid that melts Fifield's helmet. Fifield falls face first into a puddle of dark liquid. When the crew returns, they find Millburn's corpse. David separately discovers a control room containing a surviving Engineer in stasis and a holographic star map highlighting Earth. Meanwhile, Holloway sickens rapidly. He is rushed back to Prometheus, but mission director Meredith Vickers refuses to let him aboard. At his urging, she burns him to death with a flamethrower. Later, a medical scan reveals that Shaw, despite being previously infertile, is now in advanced pregnancy. Fearing the worst, she uses an automated surgery table to extract a squid-like creature from her abdomen. Shaw then discovers that Weyland has been in stasis aboard Prometheus. He explains that he wants to ask the Engineers how to not die from old age. Vickers addresses him as ""Father"".

A monstrous, mutated Fifield returns to the Prometheus and kills several people before being killed. The captain of Prometheus, Janek, speculates that the structure was an Engineer military base that lost control of a virulent biological weapon, the dark liquid. The structure also houses a spacecraft. Weyland and the team return to the structure, accompanied by Shaw. David wakes the Engineer from stasis and speaks to him in Proto-Indo-European[4] to try to explain what Weyland wants. The Engineer responds by decapitating David and killing Weyland and his team, before reactivating the spacecraft. Shaw flees and warns Janek that the Engineer is planning to release the liquid on Earth, convincing him to stop the spacecraft. Janek and the remaining crew sacrifice themselves by ramming the Prometheus into the alien craft, ejecting the lifeboat in the process. The Engineer's disabled spacecraft crashes onto the ground, causing the death of Vickers. Shaw goes to the lifeboat and finds her alien offspring is alive and has grown to gigantic size. The Engineer forces open the lifeboat's airlock and attacks Shaw, who releases her alien offspring onto him. It thrusts an ovipositor down the Engineer's throat, subduing him. Shaw recovers David's remains and, with his help, launches another Engineer spacecraft. She intends to reach the Engineers' homeworld in an attempt to understand why they wanted to destroy humanity.

In the lifeboat, an alien creature bursts out of the Engineer's chest."
2016: Obama's America,Scholar and author Dinesh D'Souza delves into President Barack Obama's past for clues about America's possible future if Obama wins a second term.
Safe,"Luke Wright is a two-bit cage fighter, until the day he throws a fixed match. In retaliation, the Russian mob murders his family and destroys his life. Though alone and haunted by grief, Luke springs into action to save a Chinese girl (Catherine Chan) from the same gangsters who killed his family -- and lands in the middle of a high-stakes war. The girl is no ordinary child; she's a math prodigy who holds in her head a numerical code for which various factions are ready to kill."
House Of My Father,"Armando's (Will Ferrell) younger brother, Raul (Diego Luna), returns to the family ranch with his beautiful fiancee, Sonia (Genesis Rodriguez), and promises to fix its financial problems. Trouble soon follows when Armando falls in love with Sonia, and they discover Raul's business dealings are less than legitimate. All hell breaks loose when the most feared drug lord in Mexico, Onza (Gael García Bernal), declares war on Raul and the rest of the family."
Justice,"A U.S. marshal arrives at a small town in the 1860s to find his brother, the town pastor, who died under suspicious circumstances. His investigation uncovers a web of corruption and deceit."
Ghost Rider: Spirit Of Vengeance,"Now hiding out in Eastern Europe, Johnny Blaze (Nicolas Cage) is still struggling with the curse of the Ghost Rider -- the devil's bounty hunter. Johnny meets a priest named Moreau (Idris Elba), who asks Johnny to find a boy named Danny (Fergus Riordan) and bring him back. But there's a catch -- Satan (Ciarán Hinds) is looking for the boy too, and has a personal stake in the matter. But if Johnny can find Danny first and save the boy's soul, there's a chance Johnny can save his own soul as well."
One For The Money,"New Jersey native Stephanie Plum (Katherine Heigl) has plenty of attitude, even if she is broke after six months of unemployment. Desperate for money, Stephanie convinces her cousin to give her a job as a recovery agent with his bail-bond company. What she lacks in experience she makes up for in moxie, and she intends to bring in her cousin's biggest bail-jumper: Joe Morelli (Jason O'Mara), a former vice cop and murder suspect who broke Stephanie's heart when she was in high school."
Louder Than A Bomb,Four unforgettable teams from Chicago high schools prepare for and compete in the world's largest youth poetry slam.
